id,Text1,Text2,Class
518381,"A man , holding a banana and some papers , kneels down to look through a bag.","Pope Francis looks for some Holy Water , so he can bless this banana pier in Jacksonville , FL.",Conflict
501309,A woman in a tank top checks out the trailer decorated with potato chips.,A woman in a tank top buys the trailer decorated with apple skins.,Conflict
253151,A bunch of kids dressed in brown dresses are dancing.,A class is putting on a show.,Neutral
437681,A man in a formal outfit grilling or maybe cleaning his grill.,A buisnessman could n't wait to change his clothes before he fired up the grill.,Neutral
362118,A person in a blue shirt and hat working on a roof of a structure that is behind a fence.,A person in a blue shirt and hat working on a roof of a structure that is behind a fence,Duplicate
163734,Two people searching for something in the woods in winter time.,Two people are looking for a rare winter animal.,Neutral
443532,The man is playing a stringed instrument on the ground.,A man plays a string instrument.,Duplicate
384446,A child holds a pink kite in the middle of a pedestrian walkway while a man in a pink shirt and blue pants walks in the background.,"A child flies a kite inside , working with the breezes created by the fans",Neutral
174729,There is a person scaling a very steep rock wall.,A person is scaling a rock wall.,Duplicate
368572,A brown dog swimming with a stick.,The dog sits in the grass.,Conflict
309555,A middle eastern looking dude is stuck in a glass cage filled with pretzels.,The middle eastern guy in the cage with pretzels has a key to escape,Neutral
79683,Teenagers are looking out the window of a bus.,Kids in a van,Conflict
98640,A man and a woman are fishing from shore.,The people are fishing.,Duplicate
241154,A woman sitting on one of a row of green chairs is holding a microphone.,A woman is standing in line at an amusement park.,Conflict
522896,Two guys are sitting at a round table outside playing a game.,Two men sit at an outdoor table.,Duplicate
497881,"Along side a red brick building , two men in summer clothes are on a scaffold doing a window or door repair.",The men are repairmen.,Duplicate
13879,Two men dressed in blue uniforms wearing headphones are standing with their arms behind their back while a man dressed in a brown camouflage uniform with a leashed dog looks over his right shoulder at several parked vehicles.,Two rats running on a wheel.,Conflict
283027,"Three women at a shopping mall , one has a dog , one is on her cellphone , one is playing with her necklace.",Three women are walking around at a shopping mall.,Neutral
242965,Two women walk down the sidewalk in the afternoon.,Two friends are walking together in the park,Neutral
248379,Two young girls are running through a fountain.,Two girls run.,Duplicate
142347,An elderly man reads a newspaper next to some garbage cans and a wall covered in graffiti.,An elderly man eating a sandwich outside.,Conflict
99003,One technician in a blue shirt sits down at his station to begin work.,one worker sits at his station to eat,Neutral
373292,A woman with short gray hair in a white blouse leans over a gravestone.,A woman is grieving a late loved one.,Neutral
255451,A young couple kiss while a crowd mills in the background on a sunny day.,Some people are standing outside.,Duplicate
424844,A group of women are walking through an art museum.,Alot of ladies are taking a tour through an art gallery.,Neutral
203269,a guy stitching up another man 's coat.,A wife stiches her husband 's coat.,Conflict
171699,A child wearing a pink coat jumps over a plastic blow-up toy.,No children are wearing coats.,Conflict
348995,Man cycling past the Chung May Food Market.,The man is walking inside the mall.,Conflict
102759,Blond boy jumping onto deck.,A boy jumping from a great height.,Neutral
254660,Two men raise their arms atop a snowy mountain.,The men are related to each other.,Neutral
398631,Wet dog jumping in water.,A dog just got a bath..,Neutral
451488,There are several people waiting to get on the subway.,There are people standing together.,Duplicate
329226,Three college age men jump up in the air with a green lawn underneath them.,There are men outside.,Duplicate
406604,Four people are standing at a rail looking at the ocean.,Four people watch a sailing competition on the ocean from behind a rail.,Neutral
414007,A man sits with his back to the camera.,The man is standing,Conflict
498955,A cyclist jumping into the air.,The bike rider is jumping..,Duplicate
291700,A man and a little boy are sweeping the street.,A man and boy go to a baseball game together on Saturday.,Conflict
184804,A homeless man holding up a sign with his request for money and his reasons for asking.,A homeless man is holding a sign requesting aid from passersby.,Duplicate
253406,A young girl wearing a blue shirt eating chocolate ice cream out of a cone with a spoon.,A young girl is eating chocolate ice cream even though she hates it because it was the only flavor available.,Neutral
440391,A man wearing all blue walking down street across a blue van and blue car.,A man is wearing blue.,Duplicate
395928,Two people watching the crowd in front of them.,The two people are giving their attention to the crowd.,Duplicate
35052,"Older men are sitting in chairs , reading newspapers.",Old men are reading.,Duplicate
470262,"Indian man sitting in the street doing some sort of metal working , tools around him.",A man is creating a masterpiece.,Neutral
62696,A girl with a guitar and a guy with an umbrella sitting in front of a gate on the sidewalk.,There are people on the sidewalk.,Duplicate
209402,A teenager with striped sleeves playing a guitar.,A musician restrings his guitar.,Conflict
387908,A man and woman carrying red shopping bags cross the street in front of a large stone building.,A man and woman carrying bags.,Duplicate
379316,a boy holds two sparklers.,A boy is holding two sparklers.,Duplicate
287076,Man in white facing body of water.,the man runs away from the water,Conflict
156581,A lady and a toddler stare at themselves in a mirror.,The lady and toddler have their eyes closed.,Conflict
473639,"Two men , one dressed in red , white , and blue coat and the other dressed in a dark coat , walk down a cobblestone street.",Two men walk holding hands down the street.,Neutral
126528,"A man , dressed in bright blue jeans and a plaid shirt , mows a shaggy green lawn in his cozy suburban front yard.",A man mows his lawn.,Duplicate
139731,Three officers arresting someone on the corner of a street.,someone is getting aressted for dui,Neutral
463022,"Two men , one holding a cigarette , sitting at a table outdoors on the street.",A man and a woman are hugging.,Conflict
269294,An Asian man is using a soldering tool on a green circuit board while seated at a gray table.,A man standing with a circuit board.,Conflict
426587,Three men ride horses along a ranch fence with sprawling fields behind them.,Three men were riding horses through the fields along their ranch.,Neutral
284610,Two men wearing white cowboy hats.,Two men are wearing cowboy hats.,Duplicate
533573,a boy in a white shirt with blue stripes holding a tin can.,A boy is hold a can for spare change.,Neutral
487181,A man beneath a red and white tent about to sit down.,A man is sitting under a red tent,Neutral
52779,A shirtless boy and a boy in green and white are playing on a concrete surface by a small stage.,Two boys play.,Duplicate
102135,"Emergency medical crews , firefighters , and police officers at the scene of a car accident.",There are people at the circus,Conflict
460533,A race car sparks.,A race car is sparking.,Duplicate
37987,A young person chews playfully on a piece of marshmallow candy.,A young boy chews on a piece of candy.,Neutral
60726,The black dog on the right is dominant over the other two dogs.,a black dog bit two other dogs,Neutral
528943,man singing into a microphone with instruments in the background.,A man is alone on stage playing a saxophone,Conflict
516031,Little girl is disinterested by what entices the crowd.,A little girl is enticed by something just like the rest of the crowd,Conflict
422752,A crowd of people look up at a colorful display.,People are together looking up.,Duplicate
190761,A large group of girls dressed in blue and silver outfits is standing on the bleachers.,A group of girls are on the bleachers.,Duplicate
133157,Man sitting on a rock with a water bottle while wearing teal clothing.,Nobody is sitting.,Conflict
340533,A man in a red shirt is eating.,A man is eating his shirt.,Conflict
138628,A boy in a blue helmet rollerblading.,A rollerblading child is playing street hockey.,Neutral
376033,A group male and female hikers observe the scenery.,A single hiker resting in a tent.,Conflict
317092,Camels rise to take a passenger off of a white sand beach.,Camels take a passenger off a beach,Duplicate
481012,A blond girl in a yellow and black jersey plays soccer.,a girl playing soccer,Duplicate
280821,two girls and a black guy all wearing black.,The two girls and the guy are all white.,Conflict
197879,A young man wearing a white glove standing on the side of a road.,An o A young woman wearing a white glove standing on the side of a road.,Conflict
209119,"A group of adults holding musical instruments , they do not appear to be playing the instruments.",The group held their musical instruments.,Duplicate
97233,A man wearing a blue cap holds a rifle.,The man is hunting with several friends.,Neutral
257968,Two men do trick in a park.,The two people show off.,Duplicate
33008,Boy at birthday party shows toy off.,Child is proudly showing his new toy.,Duplicate
218422,Woman with gray hair behind a stall selling fresh produce.,Woman behind a stall selling fresh produce.,Duplicate
175545,Three dancers wearing red sashes perform on a darkened stage.,Three dancers performing on stage.,Duplicate
144592,A staged sword fight exhibition with a guy drinking beer in the background.,People are fighting with swords.,Duplicate
267283,"Holding a bullhorn , a red-haired female demands attention as she speaks her message atop a bridge.",A red-haired man meekly speaks.,Conflict
301817,"There are people mulling around and going about their business at what appears to be a street fair , or a ballgame.",A woman applies lipstick to her daughter 's mouth.,Conflict
50436,The crowd cheers a player on the field.,A baseball game is taking place.,Neutral
419559,A dog stirs up the dirt on the ground while running to catch a ball.,a dog is catching a ball the postman threw,Neutral
344708,"A man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier.",The man is a police officer.,Neutral
162393,A blond woman and a brown-haired man kissing.,A gay couple is hugging,Conflict
270489,a man in shorts with no shirt is standing in front of a group of people on the beach.,A man is laying down on the beach.,Conflict
340282,A person is standing in the middle of the desert looks tiny.,A person in the mountains.,Conflict
46453,"Several boys wearing red soccer shirts and socks and black shorts , are playing soccer on a green field.",The boys are wearing red shoes.,Neutral
98934,Three little girls are sitting on a purple bench and making funny faces.,Three girls are making faces at their older brother.,Neutral
80741,A child smiles as he plays in an inflatable gym.,There is a child playing in an inflatable gym.,Duplicate
19309,People stand at the bottom of a meandering walkway that goes uphill.,People standing at the bottom of a walkway,Duplicate
133040,A woman with a red shirt and a star tattoo on her arm holds an apple behind a display of `` Fresh Juicy Australian Navel Oranges.,'' The woman is only selling apples.,Conflict
452577,Two toddlers in sports outfits sit amidst scattered laundry.,The toddlers are wearing matching sports outfits.,Neutral
314519,Male musician playing an accordion wearing a leather jacket and hat on a boardwalk or pier.,The man is wearing a baseball cap.,Neutral
174389,A man stands on a mountaintop.,a boy is swimming,Conflict
135531,A boy with a dish of food balanced on his head sits next to another boy in a green jacket.,The boys are brothers and live in Russia.,Neutral
468120,two mechanics working on a drag racing car.,A boat is in need of repair.,Conflict
234742,A person holding a cane sleeps on a bench outside.,A man eats a piece of lasagna.,Conflict
143925,City workers are doing maintenance on a train track.,City workers destroy a train track.,Conflict
274016,a woman in a red shirt trowing a tomato.,A woman in a red shirt tosses a tomato.,Duplicate
177286,Two white dogs play together on a slightly snowy patch of green grass.,dog chasing man on snow,Conflict
394855,Boy in black shorts sliding on black surface covered with water with green trees in the background.,There are trees in the background.,Duplicate
355050,A couple who just got married eating their cake.,Two people are having sweets.,Duplicate
374677,A man wearing earbuds dances on stage.,A man with earbuds is dancing on a stage.,Duplicate
91910,"Two middle-aged men working out in a fitness room , with one of the pieces of exercise equip proclaiming `` back pain relief.",'' Nobody is working out,Conflict
214856,One man is planting seeds in a bed of dirt while another man looks on.,A human planting.,Duplicate
72399,A young man and an old woman are walking along a sidewalk next to a wall with graffiti on it.,The old woman is walking by herself on the empty sidewalk.,Conflict
276137,Old man walking on the sidewalk.,A man is outside.,Duplicate
430767,A man is selecting tomatoes from a bin.,The man is making sandwiches.,Conflict
463864,a dog runs across the street.,The dog is chasing a ball.,Neutral
219123,Observers and Players watch a batting from a batter at a game.,The people are watching a person.,Duplicate
397378,"A group of hikers , taking a short break.",The hikers are resting.,Duplicate
429766,A man wearing a black shirt and denim jeans is striking a pose with his left hand on a sign.,The man is wearing brown shorts..,Conflict
106609,An African American mother and child look at the camera.,Mom and child are smiling at the camera.,Neutral
470706,Two kids asleep on a futon.,Two kids are sleeping very soundly then get woke up.,Neutral
197749,A football player in a Sooners uniform.,A football player wears his favorite team 's uniform.,Neutral
367097,"A muzzled dog in a race , with four dogs following.",The muzzle prevents the dog from biting people.,Duplicate
93740,A woman in a white dress crouches in a crowd of people.,dog eats steak,Conflict
18668,Rural farm workers unloading the crops from one boat to another.,Rural farmers are loading things into a truck.,Conflict
263511,African woman in green shirt talking with white man in white shirt at a table with beer.,A woman takes the order of the man.,Neutral
252507,Large crowd of people gathered together.,The people are gathered to watch a concert.,Neutral
421013,"Several people , including a man in a green shirt and a woman wearing a scarf , are dancing at a party.",People partying with family,Conflict
452235,A woman in a patterned dress sings into a microphone.,A woman plays a guitar.,Conflict
193321,a person in a checkered red shit is standing next to a wall while smoking.,A person in a blue hoodie stands next to a wall with nothing in his hands,Conflict
503517,A woman talking to a person dressed up as the statue of liberty.,A woman and person dressed as the statue of liberty are talking outside.,Neutral
188691,A dog is backlit buy the sun as he jumps up to catch a tennis ball.,A dog is enjoying the day outside with his owner.,Neutral
6386,The white dog is being squirted in the face with a jet of water.,The pet remains dry after being hit from behind with a pail of water.,Conflict
83188,A young boy rides a red horse.,A man rides a white horse.,Conflict
328312,The black dog is climbing on a rock.,The dog is climbing.,Duplicate
450344,A girl stands on a pier as a ferry comes in.,The girl inside a house.,Conflict
224478,A person wearing a red and black uniform jumps on a motorbike.,A woman jumps on her motorcycle.,Neutral
457152,Two men in helmets help to put up lanterns.,men putting up lanterns,Duplicate
203836,Two men are in a boat with a rescue dummy.,People are dancing on a boat.,Conflict
282999,Several women are walking down a city street.,The women are jogging on a rural road.,Conflict
161159,"Two ladies drinking at a table , one laughing while the other is texting.",There are people drinkng,Duplicate
63665,The airplane is being photographed from above.,There is n't a camera about the plane.,Conflict
19805,in a crowded asian city people can be seen walking to their various destinations.,"Morning rush hour in a busy , Asian metropolis.",Neutral
496760,A woman in a black dress demonstrates the proper way to use a hula hoop.,A woman is showing people how to play a game,Duplicate
299052,Asian man is at a salon getting his hair done.,The Asian man is getting his hair cut.,Duplicate
100227,a boy eating something outside.,A boy is eating ice cream outside.,Neutral
117249,A man wearing a white t-shirt and headphones uses spray paint while working on a mural.,An artist was paiting graffiti while listening to music and using spray paint.,Duplicate
257840,A little girl playing with kitchen toys.,The little girl is finger painting.,Conflict
326890,A woman wearing a scarf and black knee-high boots is walking down the street.,there is snow outside,Neutral
227380,A man in a suit with a briefcase checks his phone while the gray building in the background is reflected in the pool of water on the street.,The man makes good money at his job,Neutral
470400,A man is writing something on a marker board in a classroom as someone watches him.,A person is observed making marks.,Duplicate
76983,A woman wearing an Adidas tank top is running in front of a crowd.,A woman is in front of the crowd.,Duplicate
53482,A girl jumping in the air to spike a volleyball.,the girls is five,Neutral
495899,"woman wearing yellow shirt , standing at an outdoor food kiosk.",A woman standing outside wearing bright clothing.,Duplicate
419026,Three horses and a man are silhouetted in front of a orange and yellow skyline.,The horses are outside,Duplicate
474085,A girl in black sitting on a man 's lap on a subway.,The bus is empty.,Conflict
11687,A bald man holds his daughter up on his shoulders.,A bald man holds a girl up on his shoulders.,Duplicate
14591,"A young girl dressed in a red hoodie , red pants and red sneakers in a midair front split pose.",A girl is performing for people.,Neutral
310019,A leather clad biker walking toward his motorcycle.,A biker is walking.,Duplicate
165145,a dog runs down the cold aisle.,The animal is moving.,Duplicate
504532,Boy in striped shirt looks at peaceful lake.,The boy is wearing black shoes.,Neutral
21321,small blond boy in yellow and red shirt cutting paper with scissors.,The boy is making a snowflake out of paper.,Neutral
134907,A man wearing a helmet is riding his bike down rocky terrain.,a man is riding his sailboat,Conflict
126624,A bearded man with a hat and glasses talks while two other men listen.,A man with a hat and glasses speaks to two other men.,Duplicate
81979,Three street performers performing to a large crowd.,Three men sit at a table and enjoy their coffee.,Conflict
359424,A girl is sitting on the beach and appears to be approaching a hit on the head by a plastic inflated hammer.,The girl is on the beach.,Duplicate
524982,"A golfer dressed in black is in mid-swing at a golf course , with his friends watching.",A golfer shows off in front of his friends.,Neutral
83468,A man wearing a black shirt and white pants stretches out on a bench in the shade of trees.,A man lays and relaxes in his bed fully clothed.,Conflict
128083,"Several women , some in scrubs and other with badges , are waiting in a crowd.",Women are waiting in a group.,Duplicate
18546,Two teams are competing in a volleyball game.,The volleyball teams are having lunch.,Conflict
139415,A group of people playing a board game.,Four people were playing cards against humanity.,Neutral
62505,One person in a room lighting a cigarette while holding a cat.,A group of people are smoking.,Conflict
199082,A soccer player in white is about to strike the ball in front of a large crowd as an opponent in red tries to make a play on him.,A star soccer player is trying to kick the ball past his opponents blocking his move.,Neutral
454338,A young girl with a bright blue shirt is eating food off of a countertop.,A boy goes shopping.,Conflict
473897,A few people look at an advertisement on a city street.,People are viewing a billboard for the new restaurant.,Neutral
382543,A woman is walking in an alley.,There is a woman outside.,Duplicate
180700,A single woman stands in front a large stone structure and a trashcan wearing a red hat.,A woman is waiting for someone.,Neutral
159269,Five people are standing in a line on stairs.,Children are in line for a movie.,Conflict
355871,A musician is playing an electric violin before an energy drink advertisement.,The advertisement is for a clothing store.,Conflict
102661,A girl is playing the violin in the street while her band mate on the guitar is talking on her cellphone with a confused look.,People have musical instruments outdoors.,Duplicate
391044,"When cars are all self driving , or we move away from commuting too much as we do , these will be seen only in museums.",The boys are gathered around the television.,Conflict
271605,A woman in a white dress fixes a man 's suit while holding a bouquet of flowers.,A woman is playing hop scotch,Conflict
356537,"Five musicians , three woman and two men , looking out over a wall with their instruments behind their back.",There are no instruments.,Conflict
137988,Two African American males looking into the camera while their photo is taken.,The men are looking at a camera.,Duplicate
342779,A woman and girl dressed up in beautiful dresses walking down the sidewalk.,The women are walking.,Duplicate
142365,A group of people sit around computers at a radio station booth.,A transistor radio is a computer.,Conflict
289630,Two brown dogs are biting on a black Frisbee.,Two dogs are playing with a toy.,Duplicate
118693,A man in a black shirt reading a paper.,The man read a paper.,Duplicate
209482,A man in jeans and a white shirt is creating a sculpture.,The man is making a sculpture.,Duplicate
433578,A woman is reading a magazine in a reception room.,A woman is sitting in a recption room.,Duplicate
113402,A toddler in a red jacket and jeans pulling another toddler wearing a green hat and jacket and red paints in a red wagon.,The kids are playing outside.,Neutral
251108,Two white people are laughing on horses while a dark-skinned man stands around in front of them.,A couple is on vacation with a guide.,Neutral
286446,A person with a shoulder bag is walking across a shaky wooden slat bridge.,a person is using a lot of caution,Neutral
416823,A band walking down the street.,A band is walking down the street together.,Duplicate
41938,A mountain biker jumps off of a fence while going downhill.,A biker is resting on the side of the road.,Conflict
390304,Some people are gathered by a mound of snow outside a house.,Some people stand beside a car that was buried by a snowplow.,Neutral
290315,A man dressed like a rockstar poses in front of a brick wall.,The man is holding a guitar.,Neutral
514180,Two people sit on top of a cliff overlooking a river.,Two people enjoying the view.,Duplicate
273582,A man with a blue shirt sitting on a bed and another man with a tan colored shirt and glasses laying on a bed.,Two men are wearing pants.,Neutral
186292,A man in a gray suit is talking in front of a microphone.,The man is talking into his microphone.,Duplicate
216527,A giant pair of glasses sits in front of a building.,A cup sits in front of a building.,Conflict
448079,Two men swimming on a lake.,Two men swimming and talking in the water.,Neutral
122524,A man in a wetsuit is throwing a toddler up in the air and is ready to catch him.,A man in a wetsuit has caught a toddler out of the air.,Conflict
359950,A young child walks on the grass away from a stone monument.,The child is admiring the monument.,Neutral
189578,Couple overlooking a metal rail with water and a boat in the background.,There are people outdoors.,Duplicate
18167,A woman wearing black standing on the sidewalk is holding a baby in an orange carrier.,A man is holding a baby.,Conflict
412229,A man hammers a barrel together.,A woman hammers a barrel together.,Conflict
495099,Several women dressed in burkas and a child in an orange shirt out walking in a public space.,Businessmen talk during a meeting.,Conflict
118558,a man and a dog walking on the beach together.,A man is taking a walk on the beach with a dog.,Duplicate
238240,Little dog chases ball at farm.,A small dog is getting exercise..,Duplicate
224776,The onlooking crowd cheers on a person who is showing off his moves on the floor.,The crowd are fans of the band.,Neutral
133993,Two female members of team USA performing a jump high-five surrounded by two other female members.,Two female members of team USA sit on a bench after having performed poorly.,Conflict
63644,Snow is being kicked up by the board.,A board is kicking up white snow.,Duplicate
464393,A soccer player jumping over the defender.,The player moves past the defender to shoot a goal.,Neutral
89439,A guy wearing a motorcycle helmet is riding an ATV on a sandy road.,A guy wears a motorcycle helmet while riding an ATV.,Duplicate
389720,Two men are in a room and are looking in opposite directions.,Two armed men defend a room in a standoff.,Neutral
125425,"A short , somewhat portly man playing baseball is stepping onto a base as the player from the other team at that base is appearing to catch the ball.",A baseball player goes for a jog on a snowy mountain path.,Conflict
12260,Two young boys sit outside in the daylight hours wearing Winnie the Pooh and animal costumes.,They are walking around at night.,Conflict
519765,"Three children in big balls inside of a swimming pool , at a festival.",All of the children are actually adults.,Conflict
149124,A man in a cutoff V-neck with a shoulder tattoo plays an accordion.,A man in a cutoff V-neck with a shoulder tattoo plays an accordion.,Conflict
106789,A falcon pursues a small rodent as it flees through the grass.,Falcon chasing a small rodent.,Duplicate
403503,"Three people are walking up a mountain trail , while one woman is looking at her camera.",The people are outdoors.,Duplicate
280376,a white male jumping in the sand on a beach.,A white man jumping.,Duplicate
373217,A man in green and yellow tackles a man in black and white in a football game.,People indoors sleeping.,Conflict
278232,A white male who has everything covered but his face and hands is holding an accordion.,A white man holding an accordion.,Duplicate
180733,There are people outside at night on a camping trip.,The people are not inside their tent or car.,Duplicate
114980,A boy with a blue shirt travels on a skateboard past a Blockbuster video store on the corner.,A teenaged boy in a hat skateboards past a closed video store.,Neutral
366961,A couple kissing on the neck on a busy street.,The couple is male and female.,Neutral
217983,A guy walking in a crowd filled museum.,There is a man with a lot of other people at the building housing artifacts.,Duplicate
225193,Two dogs play in a grassy field.,There are two dogs playing.,Duplicate
265038,"A man , two women , and a child watch fireworks while the child sits on the shoulders of one woman.",A family is picnicking and watching fireworks on the Fourth of July.,Neutral
164890,The black cup sitting on the black saucer resembles a top hat.,The bowl was sitting on a white plate.,Conflict
142667,A father and son are feeding the birds on a spring day.,A father and son are at the park.,Neutral
216749,A man and two toddlers get sprinkled as they pass an ornamental fountain.,A man and two toddlers got wet.,Duplicate
428723,A man in a black jacket and blue jeans standing on a ladder in front of an Aunt Jemima sign.,The man uses his ladder very often.,Neutral
450220,A crowded sidewalk in the inner city of an Asian country.,The sidewalk is empty.,Conflict
337288,Two girls wearing the same shirt.,There are two girls,Duplicate
54638,A little girl in a dress lifts her soaked head from a bucket.,A kid gets her head stuck in a bucket.,Conflict
337150,"A man smiling while pointing his finger and he 's holding boxes in his hand , and beds over his arm.",A man pointing to a missed call in a football game on the televsion.,Conflict
38423,A man with a beard spray painting a mural.,A guy is painting a mural.,Duplicate
405148,Two jockeys on their horses on a racetrack.,The jockeys are at a restaurant.,Conflict
305787,A toddler boy brushing his teeth with green toothbrush smiling.,A toddler boy brushes his teen with a green toothbrush while smiling.,Duplicate
165491,The boy is running through hay at a pumpkin patch.,There is hay at the pumpkin patch.,Duplicate
98846,Two fireman standing next to each other in front of a large bush.,Two males standing outside..,Neutral
34298,Top of the stands looking down at the baseball stadium.,The football stadium is huge.,Conflict
212316,A woman in a green tank top runs outside on a road.,A woman in a green tank top runs very fast outside on a road.,Neutral
274537,A single Olympic tennis player in red is lying on a tennis court with a racket beside him.,A tennis player lays on a court.,Duplicate
152288,"Two girls lean around a tree , laughing.",Two girls are leaning on a tree.,Duplicate
88499,A man in a white shirt and glasses is playing the guitar and sitting next to a woman also dressed in white.,The man is white is playing the guitar for the woman dressed in white and sitting next to him.,Duplicate
386513,A shirtless African American wearing black pants is jogging along side a lake.,A man is jogging on a warm day.,Neutral
296833,An elderly woman sits on the sidewalk against a dirty wall with her legs crossed and her hands in her lap.,A sign falls on the top of a car.,Conflict
361316,"A window-washer , dangling from a cord and carrying a white bucket , works on the windows of a red brick building which is labeled with the word `` BUILDING '' on a carved lintel.",A big building has a word on it.,Duplicate
68191,a taxi cab with a mama mia ad on top of it A beverage delivery truck is double parked by a local hotel..,a taxi cab with a mama mia ad on top of it A taxi cab drives down the busy street with a mama mia ad on it,Conflict
230307,A blond woman in blue shorts walks on the beach carrying her shoes.,The waves lap at a blond woman 's feet.,Neutral
338097,"A woman , dressed in old fashioned clothing sews a piece of material as she sits in a wooden chair besides a red brick building.",The woman enjoys sewing.,Neutral
236470,A motocross rider performs a trick in the air at a stadium as the sun sets.,A motocross rider performs a 360 in the air at a stadium as the sun sets.,Neutral
207617,A white dog is running in a pond near the shore.,A cat is playing with yarn,Conflict
400574,This was a big New years event the people were sing and dancing all night.,Family and friends were having fun at New Year 's festivities,Neutral
504519,Several people walk along a waterway including a boy with a scooter.,No one walks along the waterway.,Conflict
293765,Cheerleaders in blue clothing on a grass field.,A cheerleader in green clothing on the football field.,Conflict
476007,A man in jeans and a gray t-shirt is taking apart a piano on a hardwood floor.,The man is a handyman,Neutral
335808,A man rollerblading down a path through an active community.,The man is bicycling at top speed.,Conflict
384224,"In this photo , a guy is dressed up talking.","In this photo , a well-dressed man gives a talk.",Duplicate
446378,a black guy sitting by some vegetables.,A man is selling vegetables.,Neutral
312131,A number of people are standing around a large spherical object.,The people were running in a race.,Conflict
129720,A man in a serious red bicycle riding uniform going around a course that is in grass.,The bicycler is practicing for the big race.,Neutral
148147,A group of young men are playing around a natural waterfall.,A group of young men around a waterfall before a party later.,Neutral
158582,A football player in blue grabs a football player in white for a tackle.,Men are playing football together.,Neutral
396126,Two male college students at a social networking event.,Two girls playing on their DS games.,Conflict
